scraped_at,modele,finition,prix,annee_mise_en_circulation,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,nb_porte,nb_place,couleur,sellerie,classe_emission,emission_CO2,crit_air,usage_commerciale_anterieure,url_annonce
2025-04-09,Ford Fiesta,1.0 EcoBoost ST-Line X,13 190 €,15.05.2020,69 301 km,Essence,Boite de vitesse manuelle,95 CV / 70 kW,3,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/ford-fiesta/id/5166bed7-c49e-46a1-813d-945c9389ed85/?financePeriod=84&cashAmount=50000
2025-04-09,Toyota ProAce,Combi Long 1.5 D-4D Dynamic,23 990 €,29.04.2021,71 887 km,Diesel,Boite de vitesse manuelle,120 CV / 88 kW,2,Monospace,4,9,Gris,Tissu (Sellerie d'origine),EURO 6,170 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/toyota-pro-ace/id/a5efe71c-a361-49ed-b021-41574dad508d/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz GLA,250 e AMG Line 8G-DCT,32 490 €,23.10.2020,59 649 km,Hybride,Double embrayage / DCT,218 CV / 160 kW,2,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,32 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/mercedes-benz-gla/id/b760af79-f2fc-4d41-a8fd-0bf0e189f562/?financePeriod=84&cashAmount=50000
2025-04-09,BMW X1,sDrive18i xLine DKG7,27 890 €,05.05.2021,37 869 km,Essence,Double embrayage / DCT,136 CV / 100 kW,2,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,148 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/bmw-x-1/id/490f203e-37c4-4fbc-8bb8-82fa12d291e7/?financePeriod=84&cashAmount=50000&impression_id=MDI0MDgxYTctZTc0Mi00ZjBhLWI1MGUtZGM5MjFhYTFlZmRmKzE3NDQxODIwMTQ1MDI%3D
2025-04-09,Peugeot 3008,1.5 Blue-HDi Crossway EAT8,19 090 €,31.12.2019,58 958 km,Diesel,Boite de vitesse automatique,130 CV / 96 kW,3,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,98 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/peugeot-3008/id/dfdc3fae-89a9-4fcb-b1c0-038d394ef4f1/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 2008,1.2 PureTech GT Line EAT8,17 990 €,11.06.2020,30 876 km,Essence,Boite de vitesse automatique,131 CV / 96 kW,2,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/peugeot-2008/id/3a172fce-6e96-4a85-9197-c67522c3520f/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Corsa,1.4 Turbo Design Edition,9 490 €,28.09.2018,80 283 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,2,Citadine,5,5,Rouge,Tissu (Sellerie d'origine),EURO 6,128 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/opel-corsa/id/6a172d67-e840-4884-8dc3-995d8c19100d/?financePeriod=84&cashAmount=50000
2025-04-09,Audi Q3 Sportback,35 TFSI S Tronic 7,32 290 €,17.09.2020,28 660 km,Essence,Double embrayage / DCT,150 CV / 110 kW,Inconnu,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,154 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/audi-q-3-sportback/id/641ba628-068c-41c7-88c9-b199fcd93060/?financePeriod=84&cashAmount=50000
2025-04-09,BMW X3,xDrive20iA xLine,23 890 €,05.10.2017,88 306 km,Essence,Boite de vitesse automatique,184 CV / 135 kW,Inconnu,SUV,5,5,Bleu,Cuir (Sellerie d'origine),EURO 6,168 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/bmw-x-3/id/552987cc-5804-4fc8-ad4a-0baa8b3c190a/?financePeriod=84&cashAmount=50000
2025-04-09,Skoda Fabia,1.0 TSI Clever DSG7,14 590 €,27.10.2021,44 511 km,Essence,Double embrayage / DCT,95 CV / 70 kW,2,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,132 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/skoda-fabia/id/7e78e472-d729-49d5-82fc-2b5af2c8ec85/?financePeriod=84&cashAmount=50000
